,matrix.nrow...1.,Match.No,Innings,Batting.Team,City,Date,Toss.Decision,Toss.Winner,Venue,Team1,Team2,Over,Runs.Batsman,Runs.Extras.Wides,Runs.Extras.No.Ball,Runs.Extras.Byes,Runs.Extras.Legbyes,Runs.Extras,Total.Runs,Wicket.Kind.Caught,Wicket.Kind.Caught.And.Bowled,Wicket.Kind.Bowled,Wicket.Kind.Lbw,Wicket.Kind.Runout,Wicket.Kind.Stumped,Wicket.Kind.Total
641,NA,604,2,United Arab Emirates,Kuala Lumpur,4/5/2014,field,United Arab Emirates,Kinrara Academy Oval,Hong Kong,United Arab Emirates,48.3,144,14,0,0,0,14,158,4,1,0,3,0,0,8
642,NA,605,1,Bangladesh,Mirpur,15-06-2014,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,49.6,261,8,0,0,3,11,272,6,1,2,0,0,0,9
643,NA,605,2,India,Mirpur,15-06-2014,bat,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,24.5,145,8,0,0,0,8,153,1,0,0,2,0,0,3
644,NA,606,1,India,Mirpur,17-06-2014,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,25.3,94,5,0,0,6,11,105,3,0,1,5,1,0,10
645,NA,606,2,Bangladesh,Mirpur,17-06-2014,field,Bangladesh,Shere Bangla National Stadium,Bangladesh,India,17.4,52,6,0,0,0,6,58,8,0,2,0,0,0,10
646,NA,607,1,India,Mirpur,19-06-2014,bat,India,Shere Bangla National Stadium,Bangladesh,India,34.2,106,10,0,0,3,13,119,6,0,1,2,0,0,9
647,NA,608,1,Sri Lanka,Hambantota,23-08-2014,field,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Pakistan,44.6,262,10,0,0,3,13,275,3,0,2,1,1,0,7
648,NA,608,2,Pakistan,Hambantota,23-08-2014,field,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Pakistan,44.5,266,7,0,4,0,11,277,4,0,1,1,0,0,6
649,NA,609,1,Afghanistan,Bulawayo,20-07-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,Afghanistan,49.6,243,7,1,4,1,13,256,5,0,2,0,0,0,7
650,NA,609,2,Zimbabwe,Bulawayo,20-07-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,Afghanistan,43.3,247,2,3,0,5,10,257,1,0,0,1,0,0,2
651,NA,610,1,Zimbabwe,Bulawayo,22-07-2014,field,Afghanistan,Queens Sports Club,Zimbabwe,Afghanistan,49.6,248,4,2,5,2,13,261,5,0,1,0,2,0,8
652,NA,610,2,Afghanistan,Bulawayo,22-07-2014,field,Afghanistan,Queens Sports Club,Zimbabwe,Afghanistan,49.4,256,5,1,0,2,8,264,4,0,1,1,2,0,8
653,NA,611,1,Afghanistan,Bulawayo,24-07-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,Afghanistan,49.1,247,10,0,0,2,12,259,7,1,0,1,1,0,10
654,NA,611,2,Zimbabwe,Bulawayo,24-07-2014,field,Zimbabwe,Queens Sports Club,Zimbabwe,Afghanistan,37.6,151,4,2,1,1,8,159,4,1,2,2,1,0,10
